code,reason
2018-06M-33,empty_or_placeholder
2018-06M-34,empty_or_placeholder
2018-06M-41,empty_or_placeholder
2018-06M-42,empty_or_placeholder
2018-09M-31,empty_or_placeholder
2018-09M-32,empty_or_placeholder
2018-09M-33,empty_or_placeholder
2018-09M-41,empty_or_placeholder
2018-09M-42,empty_or_placeholder
2018-CS-31,empty_or_placeholder
2018-CS-32,empty_or_placeholder
2018-CS-33,empty_or_placeholder
2018-CS-34,empty_or_placeholder
2018-CS-40,empty_or_placeholder
2018-CS-41,empty_or_placeholder
2018-CS-42,empty_or_placeholder
2019-06M-31,empty_or_placeholder
2019-06M-32,empty_or_placeholder
2019-06M-33,empty_or_placeholder
2019-06M-34,empty_or_placeholder
2019-06M-40,empty_or_placeholder
2019-09M-31,empty_or_placeholder
2019-09M-32,empty_or_placeholder
2019-09M-33,empty_or_placeholder
2019-09M-34,empty_or_placeholder
2019-09M-40,empty_or_placeholder
2019-CS-31,empty_or_placeholder
2019-CS-32,empty_or_placeholder
2019-CS-33,empty_or_placeholder
2019-CS-34,empty_or_placeholder
2020-06M-31,empty_or_placeholder
2020-06M-32,empty_or_placeholder
2020-06M-33,empty_or_placeholder
2020-06M-34,empty_or_placeholder
2020-06M-40,empty_or_placeholder
2020-09M-31,empty_or_placeholder
2020-09M-32,empty_or_placeholder
2020-09M-33,empty_or_placeholder
2020-09M-34,empty_or_placeholder
2020-CS-31,empty_or_placeholder
2020-CS-32,empty_or_placeholder
2020-CS-33,empty_or_placeholder
2020-CS-34,empty_or_placeholder
2020-CS-40,empty_or_placeholder
2021-06M-31,empty_or_placeholder
2021-06M-32,empty_or_placeholder
2021-06M-33,empty_or_placeholder
2021-06M-34,empty_or_placeholder
2021-06M-40,empty_or_placeholder
2021-09M-18,empty_or_placeholder
2021-09M-31,empty_or_placeholder
2021-09M-32,empty_or_placeholder
2021-09M-33,empty_or_placeholder
2021-09M-34,empty_or_placeholder
2021-CS-31,empty_or_placeholder
2021-CS-32,empty_or_placeholder
2021-CS-33,empty_or_placeholder
2021-CS-34,empty_or_placeholder
2021-CS-40,empty_or_placeholder
2022-06M-18,empty_or_placeholder
2022-06M-31,empty_or_placeholder
2022-06M-32,empty_or_placeholder
2022-06M-34,empty_or_placeholder
2022-06M-40,empty_or_placeholder
2022-09M-31,empty_or_placeholder
2022-09M-32,empty_or_placeholder
2022-09M-33,empty_or_placeholder
2022-09M-34,empty_or_placeholder
2022-09M-40,empty_or_placeholder
2022-CS-31,empty_or_placeholder
2022-CS-32,empty_or_placeholder
2022-CS-33,empty_or_placeholder
2022-CS-34,empty_or_placeholder
2022-CS-40,empty_or_placeholder
2023-06M-31,empty_or_placeholder
2023-06M-32,empty_or_placeholder
2023-06M-33,empty_or_placeholder
2023-06M-34,empty_or_placeholder
2023-09M-31,empty_or_placeholder
2023-09M-32,empty_or_placeholder
2023-09M-33,empty_or_placeholder
2023-09M-34,empty_or_placeholder
2023-09M-40,empty_or_placeholder
2023-CS-31,empty_or_placeholder
2023-CS-32,empty_or_placeholder
2023-CS-33,empty_or_placeholder
2023-CS-34,empty_or_placeholder
2023-CS-40,empty_or_placeholder
2024-06M-31,empty_or_placeholder
2024-06M-32,empty_or_placeholder
2024-06M-33,empty_or_placeholder
2024-06M-34,empty_or_placeholder
2024-06M-40,empty_or_placeholder
2024-09M-31,empty_or_placeholder
2024-09M-32,empty_or_placeholder
2024-09M-33,empty_or_placeholder
2024-09M-34,empty_or_placeholder
2024-CS-31,empty_or_placeholder
2024-CS-32,empty_or_placeholder
2024-CS-33,empty_or_placeholder
2024-CS-34,empty_or_placeholder
2025-06M-31,empty_or_placeholder
2025-06M-32,empty_or_placeholder
2025-06M-33,empty_or_placeholder
2025-06M-34,empty_or_placeholder
2025-09M-31,empty_or_placeholder
2025-09M-32,empty_or_placeholder
2025-09M-33,empty_or_placeholder
2025-09M-34,empty_or_placeholder
2025-09M-40,empty_or_placeholder
2025-CS-31,empty_or_placeholder
2025-CS-32,empty_or_placeholder
2025-CS-33,empty_or_placeholder
2025-CS-34,empty_or_placeholder
2025-CS-40,empty_or_placeholder
2026-06M-25,empty_or_placeholder
2026-06M-26,empty_or_placeholder
2026-06M-28,empty_or_placeholder
2026-06M-29,empty_or_placeholder
2026-06M-31,empty_or_placeholder
2026-06M-32,empty_or_placeholder
2026-06M-33,empty_or_placeholder
2026-06M-34,empty_or_placeholder
2026-06M-40,empty_or_placeholder
2026-09M-31,empty_or_placeholder
2026-09M-32,empty_or_placeholder
2026-09M-33,empty_or_placeholder
2026-09M-34,empty_or_placeholder
2026-CS-31,empty_or_placeholder
2026-CS-32,empty_or_placeholder
2026-CS-33,empty_or_placeholder
2026-CS-34,empty_or_placeholder
2026-CS-40,empty_or_placeholder
